answer,speech
changer,改变者
scientist,科学家
change,改变，变化
publish,出版，发行
theory,学说，理论
invent,发明，创造
inexpensive,廉价的，不昂贵的
bulb,电灯泡
discover,发现
general,全体的，普遍的
video,录像，录影
smart,智能的，机敏的
inventor,发明家
real,真的
power,能量
power station,发电站
die,死
successful,成功的
invention,发明物
saver,救星
medicine,药物
spend,花费
sick,虚弱的，生病的
penicillin,青霉素，盘尼西林
soldier,士兵
lose,丢失
admire,钦佩，赞赏
herb,药草，香草
pardon,请再说一遍
pain,疼痛
beg,乞求
beg your pardon,请原谅，请再说一遍
storyteller,讲故事的人
poem,诗歌
act,表演，行为
poor,平穷的
tragedy,悲惨的事，不幸，灾难
create,创作
character,角色
stage,舞台
million,百万
millions of,数百万计的
mark,做记号
level,水平
until,直到…才
weigh,称重
weight,重量
stamp,邮票
