answer,speech
different,不平常的，不同的
notice,注意，通知
swan,天鹅
partner,伙伴
slim,苗条的，纤细的
fat,胖的
curly,卷曲状的
straight,径直的
T-shirt,短袖衬衫
jeans,牛仔裤
size,大小，尺码
shape,形状
skin,皮肤
special,特殊的
number,数字，编号
than,比
fair,浅色的，白皙的
talent,天才
programme,节目单，计划
hall,礼堂
butterfly,蝴蝶
violin,小提琴
host,主持人
sound,听起来，声音
excite,使兴奋，激动
exciting,令人兴奋的
anything,任何事情
someone,somebody	某人
voice,嗓音
drum,打鼓
person,个人
hobby,业余爱好
personality,性格，个性
ability,才能，能力
easy,going	随和的
accept,接受
peacock,孔雀
wise,明智的 
nightingale,夜莺
without,没有
doubt,疑惑
laugh,发笑
laugh,at	嘲笑
smile,微笑 
feather,羽毛
colourful,多彩的
future,将来
pat,轻拍
skill,技能
unique,独一无二的
mean,意思是
noticeboard,布告栏
would,将，将会
